"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","trust","anger","anticipation","joy","negative","positive","sadness","surprise","fear","disgust"
2020-10-27 21:41:04,"Biden","AliBakirdan","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:09,"Biden","mckdeb4","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:10,"Biden","conserv2mysoul","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:14,"Biden","ElizaWinslow","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:19,"Biden","bangkokdave","iPhone",FALSE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-10-27 21:41:33,"Biden","WokeFree","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:34,"Biden","JPaulos5","Web",TRUE,140,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-27 21:41:39,"Biden","noGMOsHollywood","iPhone",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:41:39,"Biden","RigMatthew","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:42,"Biden","AhnOnEcon","Web",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-27 21:41:42,"Biden","ChooChooLife","iPad",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:41:42,"Biden","Smileitsq","Web",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
2020-10-27 21:41:47,"Biden","KennUrlaub","Android",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0
2020-10-27 21:41:59,"Biden","KansenChu","Web",FALSE,140,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
2020-10-27 21:41:59,"Biden","smmarrujo","iPhone",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:42:02,"Biden","DakotaStereo","Android",FALSE,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
2020-10-27 21:42:06,"Biden","BarringJohn","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:42:10,"Biden","kostuch","others",TRUE,140,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
